#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A966DF
#Date Time: 2023-12-22 19:20:31.252
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 301
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.5666 V
#Offset: -0.00131367 V
#Relative: no

#
Frequency (Hz),Channel 1 Magnitude (dB)
20.00000000000002,-63.21240483696887
20.46585984561509,-63.0111962036171
20.94257096101801,-62.83539723489839
21.43038610475214,-63.01471295308683
21.92956392286372,-63.31366797250492
22.4403690860393,-62.72861916947589
22.96307242993768,-62.95698263593336
23.49795109879061,-63.14948229844617
24.04528869234826,-61.93537140291144
24.60537541624765,-62.52691210595878
25.17850823588337,-62.94507989912259
25.7649910338627,-63.0311873714505
26.36513477112818,-62.31085606503628
26.97925765183309,-62.97305919682543
27.60768529205771,-62.92406137232039
28.25075089245511,-63.41805948772272
28.90879541491859,-62.47578636989421
29.58216776336418,-62.12033841827795
30.2712249687242,-62.8567190806383
30.97633237824965,-62.03363420864521
31.69786384922228,-62.19991736822262
32.43620194717863,-61.83544182241734
33.19173814875126,-61.37936241346875
33.96487304923492,-61.90055871992939
34.75601657498753,-61.56987823403642
35.56558820077849,-61.90062095809754
36.39401717219969,-61.47201081240334
37.24174273325739,-61.26825358285727
38.109214359265,-61.56366887458027
38.99689199516095,-61.7396492279368
39.90524629937762,-61.36079338691544
40.83475889339059,-61.32931080173616
41.78592261708081,-61.55358556517683
42.7592417900447,-60.13419142260024
43.75523247899108,-60.46251238983967
44.77442277136685,-60.87349147510616
45.81735305535549,-61.13176694565745
46.88457630639845,-60.48297162287791
47.97665838038985,-60.48528780745194
49.09417831370067,-60.06021569217297
50.23772863019164,-60.01309232925852
51.40791565537734,-60.08446127563729
52.60535983790768,-60.15535232772444
53.83069607853833,-60.09008441957877
55.08457406676338,-60.04367454044907
56.36765862528916,-59.87895806761141
57.68063006253217,-59.74473858462839
59.0241845333278,-59.38673595468708
60.39903440804039,-59.62516320185656
61.80590865027184,-59.36444173449259
63.24555320336765,-59.65926446979415
64.71873138592575,-59.59557632157711
66.22622429651828,-59.3031475340404
67.76883122784055,-58.7958244202656
69.34737009050633,-59.09151585815486
70.96267784671514,-58.66022456904973
72.61561095402035,-58.61337409341373
74.30704581943456,-58.70683870875249
76.03787926411233,-58.80218808926294
77.80902899885618,-58.51558772697204
79.62143411069947,-58.37866427071083
81.4760555608226,-58.09070859265039
83.37387669406719,-58.10198435517779
85.31590376031861,-57.85027161993223
87.30316644803331,-57.89212915597528
89.33671843019269,-57.90344730879178
91.41763792297505,-57.64283615323436
93.54702825743972,-57.72675923496365
95.7260184645278,-57.25517406965715
97.95576387368932,-56.96461779545277
100.2374467254546,-56.99633852797226
102.5722767982731,-56.79966440660081
104.9614920499546,-56.90900051791082
107.4063592740506,-56.80618938042065
109.9081747715251,-56.31730188804976
112.4682650380699,-56.3311798912408
115.0879874674316,-55.9559896166833
117.7687310711178,-55.98464795681237
120.5119172148716,-55.85645202595592
123.3190003722964,-55.74813711845398
126.1914688960387,-55.66948747548031
129.1308458069313,-55.19605412578532
132.1386896015193,-55.07449539491036
135.2165950783964,-54.93762952469431
138.3661941837874,-55.19655460812206
141.5891568768276,-54.57502150395432
144.8871920149981,-54.49367179878327
148.2620482601837,-54.40800626047426
151.7155150058369,-54.3252086179558
155.2494233257384,-53.90365565072592
158.8656469448564,-53.84838820069166
162.5661032328199,-53.82300216530152
166.3527542205344,-53.57106265209747
170.2276076404755,-53.15645515533721
174.1927179912163,-53.32975251515173
178.2501876267492,-53.19152009385054
182.4021678711821,-52.92077256951502
186.6508601593983,-52.75107007772944
190.9985172042874,-52.50527450111684
195.4474441911624,-52.51706570426186
200,-52.19839617107949
204.6585984561509,-52.06569826575063
209.4257096101801,-52.03407031255013
214.3038610475213,-51.75247407436273
219.2956392286371,-51.56137647321708
224.4036908603928,-51.45830983986637
229.6307242993766,-51.23460258346412
234.9795109879061,-51.03683851912258
240.4528869234827,-51.067185452846
246.0537541624764,-50.88698773433913
251.7850823588336,-50.6942799588832
257.649910338627,-50.52169803314305
263.6513477112815,-50.29608488141924
269.7925765183309,-50.25153587553991
276.0768529205772,-50.17596316501858
282.507508924551,-49.93090327186175
